State;5 - Temperature;6 - Temperature;8 - Temperature;T-101 - Spec Value (Reflux Ratio);T-101 - Spec Value (Distillate Rate);T-100 - Spec Value (Distillate Rate);10 Out - Master Comp Molar Flow (diM-Ether);15 - Master Comp Molar Flow (Methanol);SPRDSHT-1 - A10: Q_sum
Case 129;240.00;340.00;103.33;1.30;60.00;110.00;105.50;43.81;48136277.02
Case 130;240.00;340.00;103.33;1.30;60.00;116.67;105.74;37.07;48672749.63
Case 131;240.00;340.00;103.33;1.30;60.00;123.33;105.81;30.44;48188103.95
Case 132;240.00;340.00;103.33;1.30;60.00;130.00;105.81;23.86;47813750.33
Case 133;240.00;340.00;103.33;1.30;66.67;110.00;106.82;42.57;49282529.36
Case 134;240.00;340.00;103.33;1.30;66.67;116.67;107.08;35.76;49589312.12
Case 135;240.00;340.00;103.33;1.30;66.67;123.33;107.18;29.07;49188348.09
Case 136;240.00;340.00;103.33;1.30;66.67;130.00;107.19;22.51;48701902.41
Case 137;240.00;340.00;103.33;1.30;73.33;110.00;108.09;41.35;50397643.57
Case 138;240.00;340.00;103.33;1.30;73.33;116.67;108.41;34.46;50774007.98
Case 139;240.00;340.00;103.33;1.30;73.33;123.33;108.54;27.76;50268338.98
Case 140;240.00;340.00;103.33;1.30;73.33;130.00;108.56;21.13;49690555.70
Case 141;240.00;340.00;103.33;1.30;80.00;110.00;109.28;40.17;51456332.18
Case 142;240.00;340.00;103.33;1.30;80.00;116.67;109.73;33.19;52072931.50
Case 143;240.00;340.00;103.33;1.30;80.00;123.33;109.88;26.44;51424364.51
Case 144;240.00;340.00;103.33;1.30;80.00;130.00;109.91;19.78;50736355.43
Case 145;240.00;340.00;103.33;1.53;60.00;110.00;105.81;43.58;48916050.29
Case 146;240.00;340.00;103.33;1.53;60.00;116.67;106.07;36.79;50576643.41
Case 147;240.00;340.00;103.33;1.53;60.00;123.33;106.17;30.08;51332055.44
Case 148;240.00;340.00;103.33;1.53;60.00;130.00;106.20;23.49;51214264.89
Case 149;240.00;340.00;103.33;1.53;66.67;110.00;107.15;42.32;50144245.38
Case 150;240.00;340.00;103.33;1.53;66.67;116.67;107.44;35.45;51894728.36
Case 151;240.00;340.00;103.33;1.53;66.67;123.33;107.58;28.74;52519098.60
Case 152;240.00;340.00;103.33;1.53;66.67;130.00;107.61;22.10;52306783.51
Case 153;240.00;340.00;103.33;1.53;73.33;110.00;108.42;41.07;51339410.17
Case 154;240.00;340.00;103.33;1.53;73.33;116.67;108.80;34.12;53203679.54
Case 155;240.00;340.00;103.33;1.53;73.33;123.33;108.96;27.38;53766792.49
Case 156;240.00;340.00;103.33;1.53;73.33;130.00;109.00;20.72;53461661.22
Case 157;240.00;340.00;103.33;1.53;80.00;110.00;109.62;39.90;52457105.53
Case 158;240.00;340.00;103.33;1.53;80.00;116.67;110.13;32.83;54500877.48
Case 159;240.00;340.00;103.33;1.53;80.00;123.33;110.32;26.03;55088340.08
Case 160;240.00;340.00;103.33;1.53;80.00;130.00;110.38;19.33;54683691.62
Case 161;240.00;340.00;103.33;1.77;60.00;110.00;106.05;43.43;49714765.09
